tenant service,RBAC,Kessel,Export service,Sources,Repository,Language,Uses Clowder for dependency resolution?,Notes,Clowder client lib,Clowder lib version,Clowder v2 dependency-endpoint API adopted?,RBAC — service discovery,Kessel — service discovery,Exports — service discovery,Sources — service discovery,Base URL config + concrete paths,Kessel integrated (code)?,Current auth to core HCC deps,TLS/CA posture,v2 migration gaps / notes,Branch@HEAD scanned
patchman-engine-prod,x,x,,,https://github.com/RedHatInsights/patchman-engine,Go,Yes (RBAC via LoadedConfig.Endpoints),,app-common-go,v1.6.9,Yes — LoadedConfig.Endpoints + PrivateEndpoints; deps declared,"Clowder endpoints (rbac), env fallback RBAC_ADDRESS",Env var KESSEL_URL (not Clowder; not in deps),n/a,n/a,Configurable base; rbac /api/rbac/v1/access; scheme from tlsCAPath,Yes — kessel-sdk-go; OAuth2 client-credentials; KESSEL_ENABLED default true,RBAC: x-rh-identity; Kessel: OAuth2 client-credentials,Scheme from tlsCAPath (default http); Kessel insecure toggle,Kessel env-var-only: add to clowdapp dependencies + Clowder endpoint discovery. vmaas hard dep,master @ 760fbc28
playbook-dispatcher-prod,x,x,,x,https://github.com/RedHatInsights/playbook-dispatcher,Go,No (Clowder infra only),,app-common-go,v1.6.9,No — Clowder infra only; Kessel endpoint block commented (RHCLOUD-40314),Env/viper rbac.host (not Clowder),Env/viper kessel.url (Clowder discovery commented),n/a,Env/viper sources.host (not Clowder),"Configurable host/scheme/port; rbac /api/rbac/v1, sources /api/sources/v3.1 (paths hardcoded)","Yes but off by default (kessel.enabled=false); Check is service-allowlist, not workspace filter",RBAC/Sources: x-rh-identity; Kessel: OAuth Bearer when enabled; cloud-connector: PSK,Plaintext http default in-cluster; Kessel insecure default,Switch dep URL construction to LoadedConfig.Endpoints/BuildURL; add sources/kessel to clowdapp deps + TLS,master @ 018a112
remediations-prod,x,x,,,https://github.com/RedHatInsights/insights-remediations,Node/JS,Yes (DependencyEndpoints + PrivateDependencyEndpoints),,app-common-js,2.2.4,Yes — DependencyEndpoints + PrivateDependencyEndpoints; TLS-aware,"Clowder endpoints (rbac), env fallback + hardcoded default",Env var KESSEL_URL (not Clowder; not in deps),n/a,Clowder endpoints (sources-api),"Configurable base for 12 internal svcs; rbac /api/rbac/v1/access, sources /api/sources/v2.0 + v3.1","Yes — ahead of typical: ClientBuilder, OAuth2, default-workspace checks in RBAC middleware",Deps: x-rh-identity; Kessel: OAuth2 client-credentials,Scheme from Clowder tlsPort; hardcoded http svc.cluster.local fallbacks,Kessel via env not Clowder endpoint + not in clowdapp deps; else strong. No Kafka (MQTT via cloud-connector),master @ 5e06d6a
rhsm-api-proxy-prod,x,,,x,TODO https://gitlab.cee.redhat.com/service/app-interface/-/blob/master/data/services/insights/rhsm-api-proxy/app.yml?ref_type=heads,Go (Caddy),Partial (own ports only; no HCC deps),,app-common-go,v1.6.8,n/a — no HCC deps (adapter exposes DependencyEndpoints but none used),n/a (no RBAC dep),n/a (no Kessel),n/a,n/a,Reverse-proxies /api/rhsm/* to external ${RHSM_API_HOST}:${RHSM_API_PORT} (configurable; dev default echo-api.3scale.net:443),No,mTLS client cert to upstream; forwards client headers (strips Cookie + 3scale token),mTLS/TLS outbound to upstream; inbound plain http on Clowder PublicPort,Caddy reverse proxy fronting external RHSM/3scale API; ZERO HCC deps (no RBAC/Exports/Sources/Kessel); uses app-common-go only for own public/metrics ports; clowdapp has NO dependencies: block. Migration-ready — no intra-cluster deps to rewire,main @ 139ac82
rhsm-prod,x,x,x,x,TODO https://gitlab.cee.redhat.com/service/app-interface/-/blob/master/data/services/insights/rhsm/app.yml?ref_type=heads,Go,"No (plain Helm/OpenShift, not Clowder; internal GitLab)",,none (no app-common-go),—,"No — no Clowder foundation (plain Helm, not ClowdApp)","Passive — consumes X-RH-RBAC header injected by gateway/proxy; rbac-client-go v1.0.0 used for types only, not an HTTP client",Hardcoded per-env gateway URL (config/services.yml; ewgw...:443); OAuth2/SSO creds via Vault,"Yes — HCC Export Service: Kafka consumer on platform.export.requests + REST upload to /app/export/v1/.../upload (x-rh-exports-psk), endpoint via Clowder privateEndpoints export-service-service (clients/export-client)",n/a (no HCC Sources; sources = cloud-access event),"Deps are per-env hardcoded HTTPS in config/services.yml (Candlepin, Subscription, Product, Terms, etc.); Kessel gRPC :443. No HCC RBAC/Exports/Sources API calls","Yes — kessel-sdk-go v1.7.0; gRPC v1beta2 Check (ResourceType tenant, Reporter rbac); OAuth2 default-on, fatal if unconfigured; recently added (KATANA-387)",Downstream: mTLS client certs (corp enterprise-services) + some basic auth; Kessel: OAuth2/SSO. Inbound: auth sidecar + forwarded X-RH-Identity/X-RH-RBAC. No PSK,All egress TLS/mTLS; Kessel gRPC+OAuth2. No plaintext to core deps,"Legacy RHSM subscription backend on internal GitLab (it-pnt), plain Helm/OpenShift — NOT Clowder/app-interface/HCC. Only HCC touchpoints: Kessel (live, OAuth2 default-on) + RBAC via header forwarding. No Exports/Sources. Clowder v2 migration = from-scratch lift (add app-common-go + ClowdApp + endpoint discovery; replace corp mTLS/Helm pipeline)",master @ 159c846d
roadmap-prod,x,x,,,https://github.com/RedHatInsights/digital-roadmap-backend,Python,Partial (RBAC via LoadedConfig.endpoints),,app-common-python,0.2.9,Partial — LoadedConfig.endpoints for RBAC (v2-compatible pattern),"Clowder endpoints (rbac), env fallback ROADMAP_RBAC_*",Env var ROADMAP_KESSEL_* (not Clowder; not in deploy),n/a,n/a,Configurable host; rbac v1 /api/rbac/v1/access hardcoded http,"UNCOMMITTED/undeployed — kessel.py untracked, kessel-sdk unpinned, no deploy env, insecure/no-auth, OAuth TODO","RBAC: x-rh-identity; Kessel: none (insecure, OAuth unwired)",RBAC plaintext http; Kessel insecure default,RBAC v1 over http; Kessel pre-merge (uncommitted). Reads HBI via DB. Not v2 ready today,main @ aabb5f6
ros-prod,x,x,,x,TODO https://gitlab.cee.redhat.com/service/app-interface/-/blob/master/data/services/insights/ros/app.yml?ref_type=heads,Python,Partial (RBAC via endpoints; Kessel not),,app-common-python,~=0.2.5,Partial — LoadedConfig.endpoints for RBAC (TLS-aware); Kessel not,"Clowder endpoints (rbac), env fallback RBAC_SVC_URL","Env var KESSEL_URL, hardcoded default kessel-inventory-api:9000 (# Todo: Load Kessel app from clowdapp)",n/a,n/a,Configurable host; rbac /api/rbac/v1/access hardcoded,Yes — gRPC v1beta2 StreamedListObjects; OAuth2 client-credentials; kessel-sdk ^2.0.0,RBAC: x-rh-identity; Kessel: OAuth2 client-credentials,RBAC scheme from tlsCAPath; Kessel insecure default true,Kessel primary gap: hardcoded/env with explicit TODO to load from clowdapp; add to deps; flip insecure,main @ bacc9cc
runtimes-inventory-prod,x,x,,,https://gitlab.cee.redhat.com/insights-runtimes/insights-runtimes-inventory,Java (Quarkus),Yes (Clowder named endpoints: rbac-service + kessel-inventory),,clowder-quarkus-config-source,2.11.0,Partial/legacy (clowder.endpoints named keys); active on GitLab,Clowder named endpoint (clowder.endpoints.rbac-service.url) — RBAC v2 FetchWorkspace (default workspace),Clowder endpoint (clowder.endpoints.kessel-inventory-api.url); gRPC via KesselConfigInterceptor,n/a (no HCC Exports),Configured (sources-api-svc) but UNUSED (dead) [unverified on GitLab active branch],Configurable via Clowder; rbac v2 workspace fetch; kessel gRPC (:9000 via interceptor),"Yes — kessel-sdk 1.9.0; Kessel Inventory v1beta2 Check/CheckForUpdate (KesselCheckClient, KesselInventoryAuthorization); RBAC v2 default-workspace resolution (WorkspaceUtils/FetchWorkspace); no StreamedListObjects",RBAC: x-rh-identity; Kessel: OAuth2 client-credentials (OIDC sso.redhat.com); enabled via env in prod (default off in repo),RBAC over TLS (Clowder truststore); Kessel gRPC + kessel-truststore; insecure-client=false default,Active on GitLab (GitHub mirror archived 2024-02); full Kessel Inventory v1beta2 Check + RBAC v2 workspace resolution; Kessel auth enabled via env in prod,gitlab/main @ f5a83bb (2026-09-22)
tower-analytics-prod,x,,,,TODO https://gitlab.cee.redhat.com/service/app-interface/-/blob/master/data/services/insights/tower-analytics/app.yml?ref_type=heads,Python,Partial (RBAC via DependencyEndpoints),,app-common-python,0.1.9 (oldest),Partial — DependencyEndpoints for RBAC; hardcoded http,"Clowder DependencyEndpoints (rbac, optional); env RBAC_URL wins first",n/a (no Kessel),n/a,n/a,Configurable base; rbac v1 /access + /groups; hardcoded http,No — RBAC v1 only,RBAC: x-rh-identity + PSK (x-rh-rbac-psk); branch adds x-rh-rbac-org-id,Hardcoded http plaintext; no TLS/CA,No Kessel (RBAC v1); oldest lib 0.1.9; latent RBAC_PSK vs RBAC_PSKS env mismatch (nulls PSK). Internal GitLab origin,add-org-id-to-s2s-rbac-requests @ be081c3
vulnerability-engine-prod,x,x,,,https://github.com/RedHatInsights/vulnerability-engine,Python,Yes (RBAC via endpoints; Kessel via env),,app-common-python,0.2.9,Yes — LoadedConfig.endpoints + privateEndpoints; deps declared,"Clowder endpoints (rbac), env fallback RBAC_URL","Env var KESSEL_URL, hardcoded default kessel-inventory-api:9000 (not Clowder)",n/a,n/a,Configurable base; rbac /api/rbac/v1/access; vmaas /api/vmaas/v3,Yes — rbac_v2_manager CheckForUpdate/StreamedListObjects; OAuth2/SSO; kessel-sdk 2.8.0,RBAC v1: x-rh-identity; Kessel: OAuth2/SSO,RBAC scheme from tlsCAPath; Kessel via KESSEL_INSECURE (clowdapp sets FALSE),Kessel via plain env not Clowder endpoint (hardcoded default) — main gap. Otherwise v2-aware,master @ ee7db655
ros-ocp-backend,x,,,x,https://github.com/RedHatInsights/ros-ocp-backend,Go (1.26.5),Yes (app-common-go v1.6.9; c.Endpoints iteration),OCP variant of ROS; distinct repo from ros-backend (RHEL),app-common-go,v1.6.9,No — legacy c.Endpoints iteration (app-common-go v1),"Clowder endpoint (c.Endpoints case rbac), env fallback; RBACProtocol hardcoded http; rbac /api/rbac/v1/access",n/a (no Kessel),"n/a (no Export; TODO placeholder only, handlers.go:196)","Clowder (sources-api ClowdApp dep); c.Endpoints -> SOURCES_API_BASE_URL, env fallback; /application_types (internal/utils/sources/sources_api.go:16); consumes platform.sources.event-stream",rbac /api/rbac/v1/access/; sources /api/sources/v3.1/application_types; kruize,No,Identity passthrough — forwards x-rh-identity on RBAC (rbac.go:98); Sources /application_types unauthenticated,Plaintext http to RBAC + Sources; TLS/CA only for Kafka + RDS,"app-common-go v1 legacy c.Endpoints + plaintext http/identity-passthrough to RBAC v1 & Sources; needs v2 endpoint helpers, TLS/CA, Kessel; no Export/Kessel today",main @ 9991593 (2026-09-22)
smart-proxy (insights-results-smart-proxy),x,,,,https://github.com/RedHatInsights/insights-results-smart-proxy,Go (1.25.0),Partial — Clowder only for in-memory DB (Valkey); HCC deps via env,Customer-facing CCX / Insights Advisor OCP aggregation layer (fronts aggregator + content-service),app-common-go,v1.6.9,"No — HCC deps via TOML/env, not Clowder endpoints","config/env (viper), NOT Clowder; [rbac] url; /access/?application=ocp-advisor&limit=100",n/a (no Kessel),n/a,n/a,"rbac https://console.redhat.com/api/rbac/v1 + /access/; aggregator, content-service, upgrade-risks; AMS api.openshift.com",No,RBAC: forwards x-rh-identity (enforced for ServiceAccount identities only today); AMS: OAuth client-credentials (OCM SDK); aggregator/content trusted internal,No custom TLS/CA (default http.Client); server TLS optional (off),"HCC deps via hardcoded TOML/env not Clowder v2; Clowder only for Valkey; bespoke RBAC (x-rh-identity, ocp-advisor), ServiceAccount-only enforcement — strong Kessel-migration candidate; no Kessel/Export/Sources",master @ 552a09e (2026-09-22)
Color legend:,,,,,,,,,,,,,,,,,,,,,
Clowder endpoints,,,,,,,,,,,,,,,,,,,,,
Env var,,,,,,,,,,,,,,,,,,,,,
Scan mismatch,,,,,,,,,,,,,,,,,,,,,
